city,country_code,latitude,longitude,name,category_code,total_money_raised,founded_year,coordinates
Santa Monica,USA,34.01052,-118.495981,Goodreads,web,$2.75M,2007,"{'type': 'Point', 'coordinates': [34.01052, -118.495981]}"
Mountain View,USA,37.3867729,-122.0752224,Kosmix,web,$55M,2005,"{'type': 'Point', 'coordinates': [37.3867729, -122.0752224]}"
San Francisco,USA,37.7876952,-122.3991505,HubPages,web,$8M,2006,"{'type': 'Point', 'coordinates': [37.7876952, -122.3991505]}"
New York,USA,40.752516,-73.973072,WeShow,games_video,$5M,2007,"{'type': 'Point', 'coordinates': [40.752516, -73.973072]}"
Paris,FRA,48.872159,2.291225,Streamezzo,mobile,$45.5M,2004,"{'type': 'Point', 'coordinates': [48.872159, 2.291225]}"
Durham,USA,35.996157,-78.902115,Shoeboxed,web,$2.51M,2007,"{'type': 'Point', 'coordinates': [35.996157, -78.902115]}"
Durham,USA,35.9939,-78.8986,Shoeboxed,web,$2.51M,2007,"{'type': 'Point', 'coordinates': [35.9939, -78.8986]}"
Tel-Aviv,ISR,32.0554,34.7595,Flixwagon,mobile,$2.5M,2007,"{'type': 'Point', 'coordinates': [32.0554, 34.7595]}"
Richardson,USA,32.959908,-96.70737,RipCode,software,$36.5M,2006,"{'type': 'Point', 'coordinates': [32.959908, -96.70737]}"
Austin,USA,30.402252,-97.748795,RipCode,software,$36.5M,2006,"{'type': 'Point', 'coordinates': [30.402252, -97.748795]}"
Redwood City,USA,37.486368,-122.230116,Qik,mobile,$14.8M,2006,"{'type': 'Point', 'coordinates': [37.486368, -122.230116]}"
Mountain View,USA,37.386665,-122.084171,Ribbit,mobile,$11M,2005,"{'type': 'Point', 'coordinates': [37.386665, -122.084171]}"
San Francisco,USA,37.790346,-122.40185,PlayFirst,games_video,$37.7M,2004,"{'type': 'Point', 'coordinates': [37.790346, -122.40185]}"
San Diego,USA,32.939673,-117.240799,Chumby,hardware,$17.5M,2005,"{'type': 'Point', 'coordinates': [32.939673, -117.240799]}"
Norwalk,USA,41.1010914,-73.4168779,KAYAK,search,$235M,2004,"{'type': 'Point', 'coordinates': [41.1010914, -73.4168779]}"
Pasadena,USA,37.09024,-95.712891,Kior,cleantech,$298M,2007,"{'type': 'Point', 'coordinates': [37.09024, -95.712891]}"
Redwood City,USA,37.3208403,-121.9479223,Bunchball,software,$12.5M,2005,"{'type': 'Point', 'coordinates': [37.3208403, -121.9479223]}"
Seattle,USA,47.600818,-122.334117,Delve Networks,games_video,$9.65M,2006,"{'type': 'Point', 'coordinates': [47.600818, -122.334117]}"
New York,USA,37.402802,-122.117418,TravelMuse,web,$5.6M,2007,"{'type': 'Point', 'coordinates': [37.402802, -122.117418]}"
San Francisco,USA,25.752358,-80.25468,Scrapblog,web,$10M,2006,"{'type': 'Point', 'coordinates': [25.752358, -80.25468]}"
Redwood Shores,USA,37.09024,-95.712891,Blekko,search,$60.2M,2007,"{'type': 'Point', 'coordinates': [37.09024, -95.712891]}"
Sunnyvale,USA,37.385225,-121.991912,4Home,software,$9.15M,2006,"{'type': 'Point', 'coordinates': [37.385225, -121.991912]}"
Cupertino,USA,37.323739,-122.014147,SugarCRM,software,$135M,2004,"{'type': 'Point', 'coordinates': [37.323739, -122.014147]}"
McLean,USA,38.92719,-77.216969,Jobfox,web,$42M,2004,"{'type': 'Point', 'coordinates': [38.92719, -77.216969]}"
San Francisco,USA,37.775196,-122.419204,Outspark,games_video,$23.3M,2007,"{'type': 'Point', 'coordinates': [37.775196, -122.419204]}"
New York,USA,40.75362,-73.986557,yoonew,web,$4M,2004,"{'type': 'Point', 'coordinates': [40.75362, -73.986557]}"
Austin,USA,30.390071,-97.711652,Mumboe,software,$4.5M,2005,"{'type': 'Point', 'coordinates': [30.390071, -97.711652]}"
Linkoping,SWE,58.415755,15.625419,Twingly,search,€1M,2006,"{'type': 'Point', 'coordinates': [58.415755, 15.625419]}"
Palo Alto,USA,37.766909,-122.406676,Proximic,analytics,€9.46M,2006,"{'type': 'Point', 'coordinates': [37.766909, -122.406676]}"
San Francisco,USA,37.7891288,-122.4020276,Roost,software,$13.5M,2007,"{'type': 'Point', 'coordinates': [37.7891288, -122.4020276]}"
San Francisco,USA,37.765158,-122.404234,Zynga,games_video,$860M,2007,"{'type': 'Point', 'coordinates': [37.765158, -122.404234]}"
Limerick,IRL,52.6638571,-8.6267726,WorldTV,games_video,$1M,2006,"{'type': 'Point', 'coordinates': [52.6638571, -8.6267726]}"
London,GBR,51.5001524,-0.1262362,WorldTV,games_video,$1M,2006,"{'type': 'Point', 'coordinates': [51.5001524, -0.1262362]}"
San Francisco,USA,37.2906027,-121.9317853,clipsync,web,$1.51M,2007,"{'type': 'Point', 'coordinates': [37.2906027, -121.9317853]}"
San Francisco,USA,37.788266,-122.403865,Lookery,web,$3.15M,2007,"{'type': 'Point', 'coordinates': [37.788266, -122.403865]}"
Cambridge,USA,42.398424,-71.130297,Lookery,web,$3.15M,2007,"{'type': 'Point', 'coordinates': [42.398424, -71.130297]}"
Palo Alto,USA,37.550954,-122.315396,Sharetivity,web,$2M,2007,"{'type': 'Point', 'coordinates': [37.550954, -122.315396]}"
Louisville,USA,38.257035,-85.717393,First30Days,web,$5M,2008,"{'type': 'Point', 'coordinates': [38.257035, -85.717393]}"
Reston,USA,38.9530391,-77.3479238,VisualCV,web,$5M,2006,"{'type': 'Point', 'coordinates': [38.9530391, -77.3479238]}"
Seattle,USA,47.680496,-122.120938,TalentSpring,web,$2.7M,2006,"{'type': 'Point', 'coordinates': [47.680496, -122.120938]}"
South San Francisco,USA,37.65466,-122.40788,RocketOn,web,$5.8M,2007,"{'type': 'Point', 'coordinates': [37.65466, -122.40788]}"
Palo Alto,USA,37.383844,-121.918319,Mixbook,web,$11M,2006,"{'type': 'Point', 'coordinates': [37.383844, -121.918319]}"
New York,USA,40.744837,-73.983843,stickK,web,$2.23M,2007,"{'type': 'Point', 'coordinates': [40.744837, -73.983843]}"
London,GBR,51.5220072,-0.0766034,Bragster,web,$3.5M,2007,"{'type': 'Point', 'coordinates': [51.5220072, -0.0766034]}"
Hamburg,DEU,53.54598,9.987181,Qype,web,£14.5M,2005,"{'type': 'Point', 'coordinates': [53.54598, 9.987181]}"
Pasadena,USA,34.146436,-118.153136,Snap Technologies,web,$10M,2004,"{'type': 'Point', 'coordinates': [34.146436, -118.153136]}"
San Mateo,USA,37.566123,-122.323045,Smalltown,web,$4M,2005,"{'type': 'Point', 'coordinates': [37.566123, -122.323045]}"
Seattle,USA,47.620716,-122.347533,Shelfari,web,$1M,2006,"{'type': 'Point', 'coordinates': [47.620716, -122.347533]}"
San Jose,USA,37.395923,-121.92902,Cellfire,mobile,$26M,2005,"{'type': 'Point', 'coordinates': [37.395923, -121.92902]}"
Mill Valley,USA,37.905544,-122.547445,Sparkplay Media,web,$7.05M,2006,"{'type': 'Point', 'coordinates': [37.905544, -122.547445]}"
Los Angeles,USA,37.446823,-122.161523,Social Gaming Network,games_video,$17.1M,2011,"{'type': 'Point', 'coordinates': [37.446823, -122.161523]}"
Beverly Hills,USA,34.0698494,-118.4054182,Social Gaming Network,games_video,$17.1M,2011,"{'type': 'Point', 'coordinates': [34.0698494, -118.4054182]}"
Portland,USA,43.657058,-70.253959,Foneshow,mobile,$2.08M,2006,"{'type': 'Point', 'coordinates': [43.657058, -70.253959]}"
San Francisco,USA,37.775196,-122.419204,doubleTwist,software,$7.5M,2007,"{'type': 'Point', 'coordinates': [37.775196, -122.419204]}"
Newton,USA,42.337037,-71.251748,JackPot Rewards,web,$16.7M,2008,"{'type': 'Point', 'coordinates': [42.337037, -71.251748]}"
Palo Alto,USA,37.425773,-122.144271,GenieTown,search,$2M,2006,"{'type': 'Point', 'coordinates': [37.425773, -122.144271]}"
San Diego,USA,32.936973,-117.240431,RiffTrax,games_video,$5M,2006,"{'type': 'Point', 'coordinates': [32.936973, -117.240431]}"
,NLD,52.132633,5.291266,P2P-Next,hardware,€19M,2008,"{'type': 'Point', 'coordinates': [52.132633, 5.291266]}"
Austin,USA,30.268735,-97.745209,FameCast,games_video,$9.7M,2007,"{'type': 'Point', 'coordinates': [30.268735, -97.745209]}"
Gainesville,USA,29.6502461,-82.3230981,Grooveshark,web,$4.44M,2006,"{'type': 'Point', 'coordinates': [29.6502461, -82.3230981]}"
Berkeley,USA,37.87168,-122.269494,Redux,games_video,$8.11M,2007,"{'type': 'Point', 'coordinates': [37.87168, -122.269494]}"
Redwood City,USA,37.386774,-121.987661,Evernote,software,$251M,2004,"{'type': 'Point', 'coordinates': [37.386774, -121.987661]}"
Fremont,USA,37.5541073,-121.9756765,HipLogic,mobile,$11.5M,2005,"{'type': 'Point', 'coordinates': [37.5541073, -121.9756765]}"
Mountain View,USA,37.40384,-122.07808,Raptr,games_video,$27M,2007,"{'type': 'Point', 'coordinates': [37.40384, -122.07808]}"
New York,USA,40.744639,-73.983963,Inform Technologies,web,$29.3M,2004,"{'type': 'Point', 'coordinates': [40.744639, -73.983963]}"
New York,USA,40.723652,-73.985281,Kluster,web,$1M,2008,"{'type': 'Point', 'coordinates': [40.723652, -73.985281]}"
San Francisco,USA,37.787126,-122.39783,SendMe,mobile,$34.5M,2006,"{'type': 'Point', 'coordinates': [37.787126, -122.39783]}"
New York,USA,40.757929,-73.985506,Blog Talk Radio,web,$6.54M,2006,"{'type': 'Point', 'coordinates': [40.757929, -73.985506]}"
San Francisco,USA,37.781002,-122.406912,Tiny Pictures,mobile,$11.2M,2005,"{'type': 'Point', 'coordinates': [37.781002, -122.406912]}"
Palo Alto,USA,37.4784804,-122.1514101,Issuu,web,$6.25M,2006,"{'type': 'Point', 'coordinates': [37.4784804, -122.1514101]}"
San Mateo,USA,37.54763,-122.307887,SugarSync,web,$61M,2004,"{'type': 'Point', 'coordinates': [37.54763, -122.307887]}"
Redwood City,USA,37.503147,-122.211435,BillShrink,web,$9M,2008,"{'type': 'Point', 'coordinates': [37.503147, -122.211435]}"
New York City,USA,40.757929,-73.985506,Outbrain,web,$99M,2006,"{'type': 'Point', 'coordinates': [40.757929, -73.985506]}"
Providence,USA,41.826956,-71.408718,MoFuse,mobile,$1.83M,2007,"{'type': 'Point', 'coordinates': [41.826956, -71.408718]}"
New York,USA,40.8587524,-73.7258199,OLX,web,$28.5M,2006,"{'type': 'Point', 'coordinates': [40.8587524, -73.7258199]}"
Toronto,CAN,43.666953,-79.388279,ModiFace,analytics,$4.25M,2007,"{'type': 'Point', 'coordinates': [43.666953, -79.388279]}"
New York,USA,40.739794,-73.985878,Phreesia,software,$42.7M,2005,"{'type': 'Point', 'coordinates': [40.739794, -73.985878]}"
Beijing,CHN,39.905556,116.395833,Innofidei,hardware,$10M,2006,"{'type': 'Point', 'coordinates': [39.905556, 116.395833]}"
Santa Monica,USA,34.031328,-118.471463,Generate,games_video,$8M,2004,"{'type': 'Point', 'coordinates': [34.031328, -118.471463]}"
New York,USA,40.7570972,-73.969821,Generate,games_video,$8M,2004,"{'type': 'Point', 'coordinates': [40.7570972, -73.969821]}"
Chicago,USA,42.040851,-87.750643,Ifbyphone,software,$30.3M,2005,"{'type': 'Point', 'coordinates': [42.040851, -87.750643]}"
Irvine,USA,33.676444,-117.8587,Kareo,software,$51.4M,2004,"{'type': 'Point', 'coordinates': [33.676444, -117.8587]}"
Lindon,USA,40.3310529,-111.7276347,Footnote,web,$10M,2006,"{'type': 'Point', 'coordinates': [40.3310529, -111.7276347]}"
Montreal,CAN,45.516545,-73.578477,Akoha,games_video,$1.9M,2006,"{'type': 'Point', 'coordinates': [45.516545, -73.578477]}"
New York,USA,40.746883,-73.983969,Tripology,web,$1.25M,2006,"{'type': 'Point', 'coordinates': [40.746883, -73.983969]}"
New York,USA,40.7566658,-73.9827553,Giant Realm,web,$5.5M,2007,"{'type': 'Point', 'coordinates': [40.7566658, -73.9827553]}"
Miami,USA,25.9690885,-80.1417742,Global Roaming,mobile,$30.5M,2006,"{'type': 'Point', 'coordinates': [25.9690885, -80.1417742]}"
Mountain View,USA,37.386665,-122.084171,SearchMe,search,$43.6M,2005,"{'type': 'Point', 'coordinates': [37.386665, -122.084171]}"
San Francisco,USA,37.793473,-122.402667,SearchMe,search,$43.6M,2005,"{'type': 'Point', 'coordinates': [37.793473, -122.402667]}"
Portland,USA,45.484413,-122.675838,Janrain,web,$51.8M,2005,"{'type': 'Point', 'coordinates': [45.484413, -122.675838]}"
Wexford,USA,40.616311,-80.059548,TalkShoe,web,$1.13M,2005,"{'type': 'Point', 'coordinates': [40.616311, -80.059548]}"
Los Angeles,USA,34.043948,-118.468204,DailyStrength,web,$5M,2006,"{'type': 'Point', 'coordinates': [34.043948, -118.468204]}"
San Mateo,USA,37.536044,-122.328401,Clarizen,software,$56M,2005,"{'type': 'Point', 'coordinates': [37.536044, -122.328401]}"
New York,USA,40.743808,-73.983626,Next New Networks,web,$27.1M,2007,"{'type': 'Point', 'coordinates': [40.743808, -73.983626]}"
Palo Alto,USA,37.5645375,-122.3254705,Skydeck,mobile,$4M,2012,"{'type': 'Point', 'coordinates': [37.5645375, -122.3254705]}"
Foster City,USA,37.5596277,-122.2709868,Zuora,software,$128M,2007,"{'type': 'Point', 'coordinates': [37.5596277, -122.2709868]}"
San Francisco,USA,37.791137,-122.391843,Elastra,software,$14.6M,2007,"{'type': 'Point', 'coordinates': [37.791137, -122.391843]}"
Mountain View,USA,37.391727,-122.077597,Krillion,web,$9.65M,2006,"{'type': 'Point', 'coordinates': [37.391727, -122.077597]}"
San Mateo,USA,37.556152,-122.281484,Star Analytics,software,$3.5M,2004,"{'type': 'Point', 'coordinates': [37.556152, -122.281484]}"
San Francisco,USA,37.7885714,-122.4035985,kwiry,mobile,$1M,2006,"{'type': 'Point', 'coordinates': [37.7885714, -122.4035985]}"
Redwood City,USA,37.512318,-122.200914,Replay Solutions,software,$15.2M,2004,"{'type': 'Point', 'coordinates': [37.512318, -122.200914]}"
Los Angeles,USA,34.062504,-118.354605,Authenticlick,search,$5M,2005,"{'type': 'Point', 'coordinates': [34.062504, -118.354605]}"
London,GBR,51.4991094,-0.1984802,Playfish,games_video,$21M,2007,"{'type': 'Point', 'coordinates': [51.4991094, -0.1984802]}"
TromsÃ¸,NOR,69.636216,18.931062,Playfish,games_video,$21M,2007,"{'type': 'Point', 'coordinates': [69.636216, 18.931062]}"
San Diego,USA,32.88945,-117.166929,Tapioca Mobile,mobile,$5M,2008,"{'type': 'Point', 'coordinates': [32.88945, -117.166929]}"
,GBR,55.378051,-3.435973,Slicethepie,games_video,$4.8M,2007,"{'type': 'Point', 'coordinates': [55.378051, -3.435973]}"
Pittsburgh,USA,40.517948,-79.842487,ShowClix,web,$4.05M,2007,"{'type': 'Point', 'coordinates': [40.517948, -79.842487]}"
Burlingame,USA,37.592584,-122.369676,ScanCafe,web,$4M,2006,"{'type': 'Point', 'coordinates': [37.592584, -122.369676]}"
Tel Aviv,ISR,32.0554,34.7595,Moblica,mobile,$6M,2011,"{'type': 'Point', 'coordinates': [32.0554, 34.7595]}"
San Diego,USA,37.09024,-95.712891,KidZui,web,$18.4M,2006,"{'type': 'Point', 'coordinates': [37.09024, -95.712891]}"
Helsinki,FIN,60.1681494,24.9410012,XIHA,games_video,$1M,2007,"{'type': 'Point', 'coordinates': [60.1681494, 24.9410012]}"
,USA,47.3612288,8.5515974,XIHA,games_video,$1M,2007,"{'type': 'Point', 'coordinates': [47.3612288, 8.5515974]}"
Lowell,USA,42.6161515,-71.3258687,Dimdim,web,$8.4M,2006,"{'type': 'Point', 'coordinates': [42.6161515, -71.3258687]}"
Madison,USA,41.278528,-72.5254318,Networked Insights,analytics,$38.4M,2006,"{'type': 'Point', 'coordinates': [41.278528, -72.5254318]}"
New York,USA,40.745559,-73.986243,Networked Insights,analytics,$38.4M,2006,"{'type': 'Point', 'coordinates': [40.745559, -73.986243]}"
Chicago,USA,41.879979,-87.634173,Networked Insights,analytics,$38.4M,2006,"{'type': 'Point', 'coordinates': [41.879979, -87.634173]}"
Palo Alto,USA,34.007967,-118.489681,Mytopia,games_video,$3.5M,2007,"{'type': 'Point', 'coordinates': [34.007967, -118.489681]}"
San Francisco,USA,37.79471,-122.40195,Netbooks,web,$16.4M,2006,"{'type': 'Point', 'coordinates': [37.79471, -122.40195]}"
London,GBR,51.539778,-0.152998,Pikum,games_video,$5.92M,2007,"{'type': 'Point', 'coordinates': [51.539778, -0.152998]}"
Mountain View,USA,37.398022,-122.049143,Clearwell Systems,software,$29M,2004,"{'type': 'Point', 'coordinates': [37.398022, -122.049143]}"
Sunnyvale,USA,37.424801,-122.07259,Become,search,$37.2M,2004,"{'type': 'Point', 'coordinates': [37.424801, -122.07259]}"
Dallas,USA,32.9249424,-96.7679229,Kannuu,software,$2M,2007,"{'type': 'Point', 'coordinates': [32.9249424, -96.7679229]}"
,USA,37.09024,-95.712891,MindBites,web,$1M,2007,"{'type': 'Point', 'coordinates': [37.09024, -95.712891]}"
New York,USA,40.73906,-73.990911,Business Insider,web,$18.6M,2007,"{'type': 'Point', 'coordinates': [40.73906, -73.990911]}"
London,GBR,51.5141566,-0.0934254,Zemanta,web,$7.35M,2007,"{'type': 'Point', 'coordinates': [51.5141566, -0.0934254]}"
New York,USA,40.7387945,-73.9939213,Zemanta,web,$7.35M,2007,"{'type': 'Point', 'coordinates': [40.7387945, -73.9939213]}"
Ljubljana,SVN,46.0607926,14.4972218,Zemanta,web,$7.35M,2007,"{'type': 'Point', 'coordinates': [46.0607926, 14.4972218]}"
Pasadena,USA,34.146436,-118.153136,Perfect Market,software,$30.6M,2007,"{'type': 'Point', 'coordinates': [34.146436, -118.153136]}"
Austin,USA,30.387275,-97.759511,itzbig,search,$4M,2006,"{'type': 'Point', 'coordinates': [30.387275, -97.759511]}"
Sausalito,USA,37.868002,-122.500111,Glassdoor,web,$91.5M,2007,"{'type': 'Point', 'coordinates': [37.868002, -122.500111]}"
San Mateo,USA,37.5583,-122.301385,Marketo,software,$108M,2006,"{'type': 'Point', 'coordinates': [37.5583, -122.301385]}"
Paris,FRA,48.856667,2.350987,eYeka,software,$9.34M,2006,"{'type': 'Point', 'coordinates': [48.856667, 2.350987]}"
New York,USA,40.73993,-73.9930489,Cellufun,games_video,$5.23M,2005,"{'type': 'Point', 'coordinates': [40.73993, -73.9930489]}"
San Francisco,USA,37.7617955,-122.4092704,Xoopit,web,$6.5M,2004,"{'type': 'Point', 'coordinates': [37.7617955, -122.4092704]}"
Madrid,ESP,40.43094,-3.6952896,eRepublik,games_video,€2.75M,2007,"{'type': 'Point', 'coordinates': [40.43094, -3.6952896]}"
Lochristi,BEL,51.070829,3.771122,Q-Layer,software,€10.3M,2005,"{'type': 'Point', 'coordinates': [51.070829, 3.771122]}"
Berlin,DEU,52.512249,13.419841,Metaversum,web,$6.26M,2006,"{'type': 'Point', 'coordinates': [52.512249, 13.419841]}"
Sherman Oaks,USA,34.153588,-118.422495,AudioMicro,games_video,$1.25M,2008,"{'type': 'Point', 'coordinates': [34.153588, -118.422495]}"
San Francisco,USA,37.773688,-122.423468,Placecast,mobile,$8M,2005,"{'type': 'Point', 'coordinates': [37.773688, -122.423468]}"
London,GBR,51.5001524,-0.1262362,Kublax,web,€1M,2007,"{'type': 'Point', 'coordinates': [51.5001524, -0.1262362]}"
Yonkers,USA,40.934803,-73.901839,Jodange,web,$1.2M,2007,"{'type': 'Point', 'coordinates': [40.934803, -73.901839]}"
"Melbourne, Victoria",AUS,-37.813603,144.96616,Austhink Software,software,$3.77M,2004,"{'type': 'Point', 'coordinates': [-37.813603, 144.96616]}"
Sunnyvale,USA,37.504764,-122.259568,Cotendo,software,$36M,2008,"{'type': 'Point', 'coordinates': [37.504764, -122.259568]}"
Menlo Park,USA,37.45604,-122.165399,Krugle,search,$6.1M,2006,"{'type': 'Point', 'coordinates': [37.45604, -122.165399]}"
Pasadena,USA,34.146436,-118.153136,eSolar,cleantech,$192M,2007,"{'type': 'Point', 'coordinates': [34.146436, -118.153136]}"
New York,USA,40.761855,-73.983754,Cellfish,web,$60M,2004,"{'type': 'Point', 'coordinates': [40.761855, -73.983754]}"
Sunnyvale,USA,37.390704,-122.03039,SiBEAM,mobile,$114M,2004,"{'type': 'Point', 'coordinates': [37.390704, -122.03039]}"
Vancouver,CAN,49.282249,-123.108456,Vivity Labs,games_video,$1M,2007,"{'type': 'Point', 'coordinates': [49.282249, -123.108456]}"
San Francisco,USA,37.800209,-122.442592,Boxbe,web,$1.5M,2005,"{'type': 'Point', 'coordinates': [37.800209, -122.442592]}"
Lisle,USA,41.808458,-88.073008,Univa UD,software,$33M,2004,"{'type': 'Point', 'coordinates': [41.808458, -88.073008]}"
Cambridge,GBR,52.197471,0.130588,Moviestorm,software,£4.3M,2005,"{'type': 'Point', 'coordinates': [52.197471, 0.130588]}"
New York,USA,53.478714,-2.244824,mySupermarket,web,$32.8M,2006,"{'type': 'Point', 'coordinates': [53.478714, -2.244824]}"
London,GBR,51.513671,-0.159205,mySupermarket,web,$32.8M,2006,"{'type': 'Point', 'coordinates': [51.513671, -0.159205]}"
New York,USA,40.7185614,-73.998662,Mojiva,mobile,$45.8M,2008,"{'type': 'Point', 'coordinates': [40.7185614, -73.998662]}"
San Francisco,USA,37.775196,-122.419204,GitHub,software,$100M,2008,"{'type': 'Point', 'coordinates': [37.775196, -122.419204]}"
Paris,FRA,48.8522431,2.387422,Iminent,software,€5.4M,2006,"{'type': 'Point', 'coordinates': [48.8522431, 2.387422]}"
Santa Monica,USA,34.007967,-118.489681,PluggedIn,games_video,$2M,2006,"{'type': 'Point', 'coordinates': [34.007967, -118.489681]}"
Amsterdam,NLD,52.36702,4.896468,Mirror42,software,$1.2M,2004,"{'type': 'Point', 'coordinates': [52.36702, 4.896468]}"
San Francisco,USA,37.566042,-122.322954,Apture,web,$4.6M,2007,"{'type': 'Point', 'coordinates': [37.566042, -122.322954]}"
Montreal,CAN,45.545447,-73.639076,MediaScrape,web,$5.2M,2006,"{'type': 'Point', 'coordinates': [45.545447, -73.639076]}"
San Francisco,USA,37.4465496,-122.1709208,InMobi,mobile,$216M,2007,"{'type': 'Point', 'coordinates': [37.4465496, -122.1709208]}"
Singapore,SGP,1.284082,103.851942,InMobi,mobile,$216M,2007,"{'type': 'Point', 'coordinates': [1.284082, 103.851942]}"
Seattle,USA,47.6171788,-122.3370801,TeachStreet,web,$3.45M,2007,"{'type': 'Point', 'coordinates': [47.6171788, -122.3370801]}"
Palo Alto,USA,37.44236,-122.161025,MUBI,games_video,$8.25M,2007,"{'type': 'Point', 'coordinates': [37.44236, -122.161025]}"
San Francisco,USA,36.9751032,-122.0253784,UserVoice,software,$1.8M,2008,"{'type': 'Point', 'coordinates': [36.9751032, -122.0253784]}"
Shelton,USA,41.262403,-73.135894,Health Plan One,web,$6.5M,2006,"{'type': 'Point', 'coordinates': [41.262403, -73.135894]}"
Los Angeles,USA,34.085749,-118.343791,Modern Feed,games_video,$3M,2007,"{'type': 'Point', 'coordinates': [34.085749, -118.343791]}"
,USA,35.914702,-78.902617,PrepChamps,web,$1.2M,2007,"{'type': 'Point', 'coordinates': [35.914702, -78.902617]}"
San Francisco,USA,37.748676,-122.415813,Aardvark,web,$6M,2007,"{'type': 'Point', 'coordinates': [37.748676, -122.415813]}"
San Francisco,USA,37.7893215,-122.4013624,Serious Business,games_video,$4M,2008,"{'type': 'Point', 'coordinates': [37.7893215, -122.4013624]}"
Raleigh,USA,35.786975,-78.647003,KnowledgeTree,software,$6.95M,2006,"{'type': 'Point', 'coordinates': [35.786975, -78.647003]}"
Menlo Park,USA,37.452992,-122.185098,Center'd,web,$10.4M,2006,"{'type': 'Point', 'coordinates': [37.452992, -122.185098]}"
Wayne,USA,40.043029,-75.377916,BioWizard,web,$1.1M,2005,"{'type': 'Point', 'coordinates': [40.043029, -75.377916]}"
San Francisco,USA,37.3944561,-122.0785314,Kabam,games_video,$125M,2006,"{'type': 'Point', 'coordinates': [37.3944561, -122.0785314]}"
San Francisco,USA,37.269175,-119.306607,New Relic,software,$175M,2008,"{'type': 'Point', 'coordinates': [37.269175, -119.306607]}"
London,GBR,51.51819,-0.208979,Pixsta,web,£3M,2010,"{'type': 'Point', 'coordinates': [51.51819, -0.208979]}"
Vienna,AUT,48.220357,16.355,Tripwolf,web,$2.5M,2007,"{'type': 'Point', 'coordinates': [48.220357, 16.355]}"
El Segundo,USA,33.9192583,-118.3952969,Velocify,software,$20.3M,2004,"{'type': 'Point', 'coordinates': [33.9192583, -118.3952969]}"
San Francisco,USA,40.234451,-111.658656,Zinch,web,$5M,2007,"{'type': 'Point', 'coordinates': [40.234451, -111.658656]}"
Plano,USA,33.075067,-96.823962,GodTube,games_video,$32.5M,2007,"{'type': 'Point', 'coordinates': [33.075067, -96.823962]}"
San Francisco,USA,37.787204,-122.397884,Yoono,web,$5.45M,2006,"{'type': 'Point', 'coordinates': [37.787204, -122.397884]}"
Tel Aviv,ISR,32.0554,34.7595,Jinni,games_video,$8.1M,2008,"{'type': 'Point', 'coordinates': [32.0554, 34.7595]}"
Los Angeles,USA,34.052187,-118.243425,OVGuide,games_video,$7.98M,2006,"{'type': 'Point', 'coordinates': [34.052187, -118.243425]}"
Chicago,USA,41.924899,-87.640442,Fave Media,search,$1.6M,2006,"{'type': 'Point', 'coordinates': [41.924899, -87.640442]}"
Sunnyvale,USA,37.384239,-122.012475,Wirama,hardware,$1M,2006,"{'type': 'Point', 'coordinates': [37.384239, -122.012475]}"
Los Altos,USA,37.371908,-122.111711,Talend,analytics,$102M,2005,"{'type': 'Point', 'coordinates': [37.371908, -122.111711]}"
Cologne,DEU,50.945289,6.921546,sevenload,games_video,€25M,2006,"{'type': 'Point', 'coordinates': [50.945289, 6.921546]}"
Newcastle Upon Tyne,GBR,54.971346,-1.611141,amazingtunes,games_video,£1.4M,2006,"{'type': 'Point', 'coordinates': [54.971346, -1.611141]}"
Portland,USA,45.5105,-122.674995,Tyfone,mobile,$5.3M,2004,"{'type': 'Point', 'coordinates': [45.5105, -122.674995]}"
Santa Clara,USA,37.398476,-121.978821,rVita,software,$1M,2007,"{'type': 'Point', 'coordinates': [37.398476, -121.978821]}"
Palo Alto,USA,37.445667,-122.166911,Mozes,mobile,$22.3M,2005,"{'type': 'Point', 'coordinates': [37.445667, -122.166911]}"
San Francisco,USA,37.775196,-122.419204,Stitcher,mobile,$18.7M,2008,"{'type': 'Point', 'coordinates': [37.775196, -122.419204]}"
Minneapolis,USA,45.004089,-93.250179,BusinessCard2,web,$1.7M,2006,"{'type': 'Point', 'coordinates': [45.004089, -93.250179]}"
San Francisco,USA,37.787445,-122.397847,TerraPass,web,$5.8M,2004,"{'type': 'Point', 'coordinates': [37.787445, -122.397847]}"
El Segundo,USA,34.048857,-118.251343,Sometrics,games_video,$5.55M,2007,"{'type': 'Point', 'coordinates': [34.048857, -118.251343]}"
Sunnyvale,SAU,37.3886,-122.016779,mywaves,mobile,$6M,2005,"{'type': 'Point', 'coordinates': [37.3886, -122.016779]}"
Washington,USA,47.6409655,-117.5357108,Aprius,hardware,$22M,2006,"{'type': 'Point', 'coordinates': [47.6409655, -117.5357108]}"
San Francisco,USA,37.785792,-122.405081,Transpera,mobile,$19.5M,2007,"{'type': 'Point', 'coordinates': [37.785792, -122.405081]}"
San Carlos,USA,37.5068854,-122.2475729,Aster Data Systems,analytics,$53M,2005,"{'type': 'Point', 'coordinates': [37.5068854, -122.2475729]}"
Emeryville,USA,37.848641,-122.289498,Fliqz,games_video,$12.2M,2005,"{'type': 'Point', 'coordinates': [37.848641, -122.289498]}"
Redwood City,USA,37.453665,-122.229069,Moblyng,games_video,$19.1M,2005,"{'type': 'Point', 'coordinates': [37.453665, -122.229069]}"
